16.25,31.5,63,125,250,500,1000,2000,4000,8000
78,59,43,30,21,15,12,8,5,2
79,61,45,34,26,20,17,13,10,7
80,63,49,38,30,25,22,18,15,12
81,66,52,42,35,30,27,23,20,17
82,69,55,46,40,35,32,28,25,22
84,71,58,50,44,40,37,33,30,27
85,74,62,54,49,45,42,38,35,32
87,76,65,58,53,50,47,43,40,37
89,79,69,62,58,55,52,49,46,43
92,82,72,67,63,60,57,54,51,48
94,85,76,71,67,64,62,59,56,53
97,88,79,75,72,69,66,64,61,58
65,65,70,,,,,,,
75,75,80,,,,,,,
85,85,90,,,,,,,
