#,Thermostat,identifier,311064582709
#,Thermostat,name,Home
#,Start,date,2019-03-01
#,End,date,2019-03-31

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Cool Stage 2 (sec),Heat Stage 1 (sec),Heat Stage 2 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Downstairs (F),Downstairs2,Kids' Room (F),Kids' Room2,Bedroom (F),Bedroom2
2019-02-28,23:00:00,auto,heatOff,,Sleep,73,67,66.9,48,44.7,0,0,0,0,0,0,,66.5,48,0,65.6,0,67.7,0,66.9,0,
2019-02-28,23:05:00,auto,heatOff,,Sleep,73,67,66.7,47,44.7,0,0,0,0,0,0,,66.3,47,0,65.4,0,67.5,0,66.7,0,
2019-02-28,23:10:00,auto,heatOff,,Sleep,73,67,66.5,48,44.7,0,0,0,60,0,0,,66.1,48,0,65.4,0,67.3,0,66.5,0,
2019-02-28,23:15:00,auto,heatStage1On,,Sleep,73,67,66.4,48,44.7,0,0,0,300,0,0,,65.9,48,0,65.4,0,67.2,0,66.3,0,
2019-02-28,23:20:00,auto,heatStage1On,,Sleep,73,67,66.4,48,44.7,0,0,0,300,0,0,,66,48,0,65.4,0,67.2,0,66.4,0,
2019-02-28,23:25:00,auto,heatStage1On,,Sleep,73,67,66.9,47,44.7,0,0,0,90,0,45,,66.5,47,0,65.5,0,67.5,0,66.8,0,
2019-02-28,23:30:00,auto,heatOff,,Sleep,73,67,67.3,46,44.8,0,0,0,0,0,0,,66.8,46,0,65.7,0,68,0,67.1,0,
2019-02-28,23:35:00,auto,heatOff,,Sleep,73,67,67.2,46,44.8,0,0,0,0,0,0,,66.8,46,0,65.6,0,68,0,67.1,0,
2019-02-28,23:40:00,auto,heatOff,,Sleep,73,67,67.1,48,44.8,0,0,0,0,0,0,,66.5,48,0,65.6,0,67.9,0,66.9,0,
2019-02-28,23:45:00,auto,heatOff,,Sleep,73,67,66.8,47,44.8,0,0,0,0,0,0,,66.3,47,0,65.4,0,67.5,0,66.7,0,
2019-02-28,23:50:00,auto,heatOff,,Sleep,73,67,66.6,47,44.8,0,0,0,60,0,0,,66,47,0,65.4,0,67.3,0,66.5,0,
2019-02-28,23:55:00,auto,heatStage1On,,Sleep,73,67,66.5,48,44.8,0,0,0,300,0,0,,66,48,0,65.3,0,67.2,0,66.5,0,
2019-03-01,00:00:00,auto,heatStage1On,,Sleep,73,67,66.5,47,45.1,0,0,0,255,0,45,,66,47,0,65.4,0,67.2,0,66.5,0,
2019-03-01,00:05:00,auto,heatOff,,Sleep,73,67,66.9,47,45.1,0,0,0,0,0,0,,66.4,47,0,65.4,0,67.5,0,66.9,0,
2019-03-01,00:10:00,auto,heatOff,,Sleep,73,67,67.1,46,45.1,0,0,0,0,0,0,,66.6,46,0,65.5,0,67.8,0,67,0,
2019-03-01,00:15:00,auto,heatOff,,Sleep,73,67,66.9,48,45.1,0,0,0,0,0,0,,66.4,48,0,65.4,0,67.7,0,66.9,0,
2019-03-01,00:20:00,auto,heatOff,,Sleep,73,67,66.8,48,45.1,0,0,0,0,0,0,,66.2,48,0,65.3,0,67.5,0,66.8,0,
2019-03-01,00:25:00,auto,heatOff,,Sleep,73,67,66.6,48,45.1,0,0,0,120,0,0,,66,48,0,65.3,0,67.3,0,66.6,0,
2019-03-01,00:30:00,auto,heatStage1On,,Sleep,73,67,66.5,48,45,0,0,0,300,0,0,,65.8,48,0,65.3,0,67.2,0,66.5,0,
2019-03-01,00:35:00,auto,heatStage1On,,Sleep,73,67,66.6,47,45,0,0,0,225,0,45,,66,47,0,65.3,0,67.3,0,66.6,0,
2019-03-01,00:40:00,auto,heatOff,,Sleep,73,67,67,47,45,0,0,0,0,0,0,,66.4,47,0,65.4,0,67.7,0,66.9,0,
2019-03-01,00:45:00,auto,heatOff,,Sleep,73,67,67.1,46,45,0,0,0,0,0,0,,66.6,46,0,65.4,0,67.9,0,67.1,0,
