#,Thermostat,identifier,311064582709
#,Thermostat,name,Home
#,Start,date,2015-09-01
#,End,date,2015-09-30

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Cool Stage 2 (sec),Heat Stage 1 (sec),Heat Stage 2 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Downstairs (F),Downstairs2,Kids' Room (F),Kids' Room2,Bedroom (F),Bedroom2
2015-09-01,00:00:00,cool,compressorCoolOff,,Sleep,75,67,74.9,52,81,14,0,0,0,0,0,,74.9,52,0,75.4,0,,,,,
2015-09-01,00:05:00,cool,compressorCoolOff,,Sleep,75,67,75,52,81,14,0,0,0,0,0,,75,52,0,75.6,0,,,,,
2015-09-01,00:10:00,cool,compressorCoolOff,,Sleep,75,67,75.1,52,81,14,0,0,0,0,0,,75.1,52,0,75.6,0,,,,,
2015-09-01,00:15:00,cool,compressorCoolOff,,Sleep,75,67,75.2,52,81,14,0,0,0,0,0,,75.2,52,0,75.8,0,,,,,
2015-09-01,00:20:00,cool,compressorCoolOff,,Sleep,75,67,75.3,52,81,14,0,0,0,0,0,,75.3,52,0,75.8,0,,,,,
2015-09-01,00:25:00,cool,compressorCoolOff,,Sleep,75,67,75.4,52,81,14,210,0,0,0,210,,75.4,52,0,75.9,0,,,,,
2015-09-01,00:30:00,cool,compressorCoolStage1On,,Sleep,75,67,75.8,54,80.1,11,300,0,0,0,300,,75.8,54,0,75.9,0,,,,,
2015-09-01,00:35:00,cool,compressorCoolStage1On,,Sleep,75,67,75.9,54,80.1,11,300,210,0,0,300,,75.9,54,0,75.8,0,,,,,
2015-09-01,00:40:00,cool,compressorCoolStage2On,,Sleep,75,67,75.9,54,80.1,11,300,300,0,0,300,,75.9,54,0,75.6,0,,,,,
2015-09-01,00:45:00,cool,compressorCoolStage2On,,Sleep,75,67,75.7,55,80.1,11,300,300,0,0,300,,75.7,55,0,75.3,0,,,,,
2015-09-01,00:50:00,cool,compressorCoolStage2On,,Sleep,75,67,75.4,55,80.1,11,300,300,0,0,300,,75.4,55,0,75,0,,,,,
2015-09-01,00:55:00,cool,compressorCoolStage2On,,Sleep,75,67,75.1,56,80.1,11,300,300,0,0,300,,75.1,56,0,74.7,0,,,,,
2015-09-01,01:00:00,cool,compressorCoolStage2On,,Sleep,75,67,74.8,54,80.1,11,45,45,0,0,90,,74.8,54,0,74.5,0,,,,,
2015-09-01,01:05:00,cool,compressorCoolOff,,Sleep,75,67,74.2,53,80.1,11,0,0,0,0,0,,74.2,53,0,74.5,0,,,,,
2015-09-01,01:10:00,cool,compressorCoolOff,,Sleep,75,67,74,53,80.1,11,0,0,0,0,0,,74,53,0,74.5,0,,,,,
2015-09-01,01:15:00,cool,compressorCoolOff,,Sleep,75,67,74.1,52,80.1,11,0,0,0,0,0,,74.1,52,0,74.7,0,,,,,
2015-09-01,01:20:00,cool,compressorCoolOff,,Sleep,75,67,74.3,52,80.1,11,0,0,0,0,0,,74.3,52,0,74.9,0,,,,,
2015-09-01,01:25:00,cool,compressorCoolOff,,Sleep,75,67,74.5,52,80.1,11,0,0,0,0,0,,74.5,52,0,75.1,0,,,,,
2015-09-01,01:30:00,cool,compressorCoolOff,,Sleep,75,67,74.6,52,79,12,0,0,0,0,0,,74.6,52,0,75.2,0,,,,,
2015-09-01,01:35:00,cool,compressorCoolOff,,Sleep,75,67,74.8,52,79,12,0,0,0,0,0,,74.8,52,0,75.3,0,,,,,
2015-09-01,01:40:00,cool,compressorCoolOff,,Sleep,75,67,74.9,52,79,12,0,0,0,0,0,,74.9,52,0,75.5,0,,,,,
2015-09-01,01:45:00,cool,compressorCoolOff,,Sleep,75,67,75,52,79,12,0,0,0,0,0,,75,52,0,75.6,0,,,,,
2015-09-01,01:50:00,cool,compressorCoolOff,,Sleep,75,67,75.1,52,79,12,0,0,0,0,0,,75.1,52,0,75.7,0,,,,,
2015-09-01,01:55:00,cool,compressorCoolOff,,Sleep,75,67,75.2,52,79,12,0,0,0,0,0,,75.2,52,0,75.8,0,,,,,
2015-09-01,02:00:00,cool,compressorCoolOff,,Sleep,75,67,75.3,52,78.1,12,0,0,0,0,0,,75.3,52,0,75.8,0,,,,,
2015-09-01,02:05:00,cool,compressorCoolOff,,Sleep,75,67,75.3,52,78.1,12,0,0,0,0,0,,75.3,52,0,75.9,0,,,,,
2015-09-01,02:10:00,cool,compressorCoolOff,,Sleep,75,67,75.4,52,78.1,12,0,0,0,0,0,,75.4,52,0,76,0,,,,,
2015-09-01,02:15:00,cool,compressorCoolOff,,Sleep,75,67,75.4,53,78.1,12,15,0,0,0,15,,75.4,53,0,76.1,0,,,,,
2015-09-01,02:20:00,cool,compressorCoolStage1On,,Sleep,75,67,75.5,53,78.1,12,300,0,0,0,300,,75.5,53,0,76.1,0,,,,,
2015-09-01,02:25:00,cool,compressorCoolStage1On,,Sleep,75,67,75.8,54,78.1,12,300,15,0,0,300,,75.8,54,0,76.1,0,,,,,
2015-09-01,02:30:00,cool,compressorCoolStage2On,,Sleep,75,67,75.8,54,78.1,12,300,300,0,0,300,,75.8,54,0,75.9,0,,,,,
2015-09-01,02:35:00,cool,compressorCoolStage2On,,Sleep,75,67,75.6,54,78.1,12,300,300,0,0,300,,75.6,54,0,75.7,0,,,,,
2015-09-01,02:40:00,cool,compressorCoolStage2On,,Sleep,75,67,75.3,54,78.1,12,300,300,0,0,300,,75.3,54,0,75.1,0,,,,,
2015-09-01,02:45:00,cool,compressorCoolStage2On,,Sleep,75,67,75.1,54,78.1,12,210,210,0,0,255,,75.1,54,0,74.9,0,,,,,
2015-09-01,02:50:00,cool,compressorCoolOff,,Sleep,75,67,74.5,53,78.1,12,0,0,0,0,0,,74.5,53,0,74.6,0,,,,,
2015-09-01,02:55:00,cool,compressorCoolOff,,Sleep,75,67,74,53,78.1,12,0,0,0,0,0,,74,53,0,74.6,0,,,,,
2015-09-01,03:00:00,cool,compressorCoolOff,,Sleep,75,67,74,53,75.9,14,0,0,0,0,0,,74,53,0,74.8,0,,,,,
