#,Thermostat,identifier,311064582709
#,Thermostat,name,Home
#,Start,date,2018-12-01
#,End,date,2018-12-31

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Cool Stage 2 (sec),Heat Stage 1 (sec),Heat Stage 2 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Downstairs (F),Downstairs2,Kids' Room (F),Kids' Room2,Bedroom (F),Bedroom2
2018-11-30,23:00:00,auto,compressorCoolOff,,Sleep,73,67,72.7,59,69.4,0,15,0,0,0,15,,70.9,59,0,70.1,0,70.9,0,72.7,1,
2018-11-30,23:05:00,auto,compressorCoolStage1On,,Sleep,73,67,72.7,59,69.4,0,285,0,0,0,285,,70.7,59,0,70.1,0,70.9,0,72.7,1,
2018-11-30,23:10:00,auto,compressorCoolOff,,Sleep,73,67,72.6,58,69.4,0,0,0,0,0,0,,70.9,58,0,70,0,70.9,0,72.6,0,
2018-11-30,23:15:00,auto,compressorCoolOff,,Sleep,73,67,72.5,60,69.4,0,165,0,0,0,165,,70.7,60,0,70,0,70.7,0,72.5,0,
2018-11-30,23:20:00,auto,compressorCoolStage1On,,Sleep,73,67,72.5,59,69.4,0,135,0,0,0,135,,70.7,59,0,70,0,70.8,0,72.5,0,
2018-11-30,23:25:00,auto,compressorCoolOff,,Sleep,73,67,72.5,59,69.4,0,0,0,0,0,0,,70.6,59,0,69.9,0,70.5,0,72.5,0,
2018-11-30,23:30:00,auto,compressorCoolStage1On,,Sleep,73,67,72.5,59,68.9,0,300,0,0,0,300,,70.5,59,0,69.8,0,70.6,0,72.5,0,
2018-11-30,23:35:00,auto,compressorCoolOff,,Sleep,73,67,72.1,58,68.9,0,0,0,0,0,0,,70.6,58,0,69.9,0,70.5,0,72.4,0,
2018-11-30,23:40:00,auto,compressorCoolOff,,Sleep,73,67,71.6,60,68.9,0,0,0,0,0,0,,70.3,60,1,69.8,0,70.5,0,72.3,1,
2018-11-30,23:45:00,auto,compressorCoolOff,,Sleep,73,67,71.6,61,68.9,0,0,0,0,0,0,,70.3,61,0,69.9,0,70.6,0,72.3,1,
