#,Thermostat,identifier,311064582709
#,Thermostat,name,Home
#,Start,date,2020-02-01
#,End,date,2020-02-29

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Cool Stage 2 (sec),Heat Stage 1 (sec),Heat Stage 2 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Downstairs (F),Downstairs2,Kids' Room (F),Kids' Room2,Bedroom (F),Bedroom2
2020-01-31,23:00:00,auto,heatOff,,Sleep,73,66,65.8,47,43.5,0,0,0,0,0,0,1.4,66.8,47,1,67.6,1,67.1,0,67.8,0,
2020-01-31,23:05:00,auto,heatOff,,Sleep,73,66,65.5,47,43.5,0,0,0,0,0,0,1.4,66.6,47,0,67.4,1,67.1,0,67.6,0,
2020-01-31,23:10:00,auto,heatOff,,Sleep,73,66,65.3,47,43.5,0,0,0,285,0,0,1.3,66.5,47,0,67.2,1,67.1,0,67.2,0,
2020-01-31,23:15:00,auto,heatStage1On,,Sleep,73,66,65.7,46,43.5,0,0,0,75,0,45,1.2,67,46,0,67.5,0,67.1,0,67.2,0,
2020-01-31,23:20:00,auto,heatOff,,Sleep,73,66,65.8,46,43.5,0,0,0,0,0,0,1.4,67.2,46,0,67.7,0,67.1,0,67.4,0,
2020-01-31,23:25:00,auto,heatOff,,Sleep,73,66,65.8,46,43.5,0,0,0,0,0,0,1.2,67,46,0,67.6,0,67.2,0,67.3,0,
2020-01-31,23:30:00,auto,heatOff,,Sleep,73,66,65.5,47,42.9,0,0,0,0,0,0,1.3,66.8,47,0,67.3,0,67.2,0,67.1,0,
2020-01-31,23:35:00,auto,heatOff,,Sleep,73,66,65.5,47,42.9,0,0,0,0,0,0,1.2,66.7,47,0,67.1,0,67.1,0,67,0,
2020-01-31,23:40:00,auto,heatOff,,Sleep,73,66,65.4,47,42.9,0,0,0,60,0,0,1.3,66.6,47,0,67,0,67.1,0,66.8,0,
2020-01-31,23:45:00,auto,heatStage1On,,Sleep,73,66,65.5,46,42.9,0,0,0,270,0,30,1.2,66.8,46,0,66.9,0,67.1,0,66.6,0,
2020-01-31,23:50:00,auto,heatOff,,Sleep,73,66,65.5,45,42.9,0,0,0,0,0,15,1.4,67.4,45,0,67.2,0,67.1,0,66.6,0,
2020-01-31,23:55:00,auto,heatOff,,Sleep,73,66,65.6,45,42.9,0,0,0,0,0,0,1.4,67.2,45,0,67.3,0,67.1,0,66.9,0,
2020-02-01,00:00:00,auto,heatOff,,Sleep,73,66,65.7,46,45.1,0,0,0,0,0,0,1.1,66.9,46,0,67.1,0,67.1,0,66.8,0,
2020-02-01,00:05:00,auto,heatOff,,Sleep,73,66,65.6,47,45.1,0,0,0,0,0,0,1.1,66.8,47,0,67,0,67.1,0,66.6,0,
2020-02-01,00:10:00,auto,heatOff,,Sleep,73,66,65.6,47,45.1,0,0,0,0,0,0,1.1,66.7,47,0,66.8,0,67.1,0,66.5,0,
2020-02-01,00:15:00,auto,heatOff,,Sleep,73,66,65.4,46,45.1,0,0,0,165,0,0,1.2,66.6,46,0,66.7,0,66.9,0,66.3,0,
2020-02-01,00:20:00,auto,heatStage1On,,Sleep,73,66,65.4,46,45.1,0,0,0,300,0,0,1.2,67,46,1,66.7,0,66.9,0,66.2,0,
2020-02-01,00:25:00,auto,heatStage1On,,Sleep,73,66,65.6,45,45.1,0,0,0,210,0,45,1.3,67.4,45,0,66.9,0,66.9,0,66.4,0,
2020-02-01,00:30:00,auto,heatOff,,Sleep,73,66,66,45,44.7,0,0,0,0,0,0,1.2,67.9,45,0,67.1,0,67.1,0,66.9,0,
2020-02-01,00:35:00,auto,heatOff,,Sleep,73,66,66,44,44.7,0,0,0,0,0,0,1.4,68,44,0,67.1,0,67.1,0,67.1,0,
2020-02-01,00:40:00,auto,heatOff,,Sleep,73,66,65.9,44,44.7,0,0,0,0,0,0,1.5,67.7,44,0,66.9,0,67.1,0,66.9,0,
2020-02-01,00:45:00,auto,heatOff,,Sleep,73,66,65.7,44,44.7,0,0,0,0,0,0,1.6,67.4,44,0,66.9,0,67.1,0,66.5,0,
2020-02-01,00:50:00,auto,heatOff,,Sleep,73,66,65.6,44,44.7,0,0,0,0,0,0,1.5,67.2,44,0,66.7,0,66.9,0,66.3,0,
2020-02-01,00:55:00,auto,heatOff,,Sleep,73,66,65.4,44,44.7,0,0,0,0,0,0,1.3,67,44,0,66.5,0,66.9,0,66.2,0,
2020-02-01,01:00:00,auto,heatOff,,Sleep,73,66,65.3,45,41.8,0,0,0,75,0,0,1.3,66.8,45,0,66.5,0,66.9,0,66.1,0,
2020-02-01,01:05:00,auto,heatStage1On,,Sleep,73,66,65.1,45,41.8,0,0,0,300,0,0,1.3,66.7,45,0,66.3,0,66.9,0,65.9,0,
2020-02-01,01:10:00,auto,heatStage1On,,Sleep,73,66,65.2,45,41.8,0,0,0,300,0,0,1.3,66.9,45,0,66.6,0,66.9,0,65.9,0,
2020-02-01,01:15:00,auto,heatStage1On,,Sleep,73,66,65.4,44,41.8,0,0,0,300,0,0,1.4,67.3,44,0,66.8,0,66.9,0,66.4,0,
2020-02-01,01:20:00,auto,heatStage1On,,Sleep,73,66,65.8,44,41.8,0,0,0,30,0,45,1.4,67.8,44,0,67,0,67.1,0,66.9,0,
2020-02-01,01:25:00,auto,heatOff,,Sleep,73,66,66,44,41.8,0,0,0,0,0,0,1.4,68.1,44,0,67.1,0,67.1,0,67.2,0,
2020-02-01,01:30:00,auto,heatOff,,Sleep,73,66,65.9,44,40.9,0,0,0,0,0,0,1.4,68.1,44,0,67.1,0,67.1,0,67,0,
2020-02-01,01:35:00,auto,heatOff,,Sleep,73,66,65.7,44,40.9,0,0,0,0,0,0,1.4,67.7,44,1,66.9,0,67.1,0,66.7,0,
2020-02-01,01:40:00,auto,heatOff,,Sleep,73,66,65.4,44,40.9,0,0,0,0,0,0,1.4,67.5,44,0,66.7,0,67.1,0,66.3,0,
2020-02-01,01:45:00,auto,heatOff,,Sleep,73,66,65.4,44,40.9,0,0,0,0,0,0,1.4,67.3,44,0,66.5,0,67.1,0,66.1,0,
2020-02-01,01:50:00,auto,heatOff,,Sleep,73,66,65.3,44,40.9,0,0,0,285,0,0,1.4,67.2,44,0,66.5,0,66.9,0,65.8,0,
2020-02-01,01:55:00,auto,heatStage1On,,Sleep,73,66,65.6,44,40.9,0,0,0,240,0,45,1.3,67.3,44,1,66.5,0,67.1,0,65.9,0,
2020-02-01,02:00:00,auto,heatOff,,Sleep,73,66,65.8,44,43.9,0,0,0,0,0,0,1.5,67.7,44,0,66.7,0,67.1,0,66.3,0,
2020-02-01,02:05:00,auto,heatOff,,Sleep,73,66,66.1,44,43.9,0,0,0,0,0,0,1.5,67.8,44,0,67,0,67.1,0,66.5,0,
2020-02-01,02:10:00,auto,heatOff,,Sleep,73,66,65.9,44,43.9,0,0,0,0,0,0,1.6,67.6,44,1,66.6,0,67.1,0,66.3,1,
2020-02-01,02:15:00,auto,heatOff,,Sleep,73,66,65.5,44,43.9,0,0,0,0,0,0,1.5,67.3,44,0,66.4,0,67.1,0,66.1,1,
2020-02-01,02:20:00,auto,heatOff,,Sleep,73,66,65.3,44,43.9,0,0,0,135,0,0,1.4,67,44,0,66.3,0,67,0,65.9,1,
2020-02-01,02:25:00,auto,heatStage1On,,Sleep,73,66,65.1,44,43.9,0,0,0,300,0,0,1.3,66.9,44,0,66.3,0,66.9,0,65.8,0,
2020-02-01,02:30:00,auto,heatStage1On,,Sleep,73,66,65.1,44,43.6,0,0,0,300,0,0,1.3,66.9,44,0,66.5,0,66.9,0,66,0,
