#,Thermostat,identifier,311064582709
#,Thermostat,name,Home
#,Start,date,2020-06-01
#,End,date,2020-06-30

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Cool Stage 2 (sec),Heat Stage 1 (sec),Heat Stage 2 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Downstairs (F),Downstairs2,Kids' Room (F),Kids' Room2,Bedroom (F),Bedroom2
2020-06-01,00:00:00,auto,compressorCoolStage1On,,Sleep,73,66,73.6,58,73.1,0,300,0,0,0,300,1.2,73.9,58,0,74,0,75.3,0,75.4,0,
2020-06-01,00:05:00,auto,compressorCoolStage1On,,Sleep,73,66,73.5,57,73.1,0,300,0,0,0,300,1.1,73.9,57,0,73.6,0,75.1,0,75.2,0,
2020-06-01,00:10:00,auto,compressorCoolStage1On,,Sleep,73,66,73.2,57,73.1,0,300,0,0,0,300,1.3,73.8,57,0,73.2,0,75.1,0,75.1,0,
2020-06-01,00:15:00,auto,compressorCoolStage1On,,Sleep,73,66,73,56,73.1,0,105,0,0,0,150,1.4,73.6,56,0,73,0,75,0,74.9,0,
2020-06-01,00:20:00,auto,compressorCoolOff,,Sleep,73,66,72.9,56,73.1,0,0,0,0,0,0,1.3,73.5,56,0,72.9,0,74.9,0,74.7,0,
2020-06-01,00:25:00,auto,compressorCoolOff,,Sleep,73,66,73,56,73.1,0,0,0,0,0,0,1.3,73.7,56,0,72.9,0,74.9,0,74.7,0,
2020-06-01,00:30:00,auto,compressorCoolOff,,Sleep,73,66,73.1,56,72.9,0,0,0,0,0,0,1.3,73.8,56,0,73,0,74.9,0,74.8,0,
2020-06-01,00:35:00,auto,compressorCoolOff,,Sleep,73,66,73.1,55,72.9,0,0,0,0,0,0,1.3,73.9,55,0,73.4,0,74.9,0,74.9,0,
2020-06-01,00:40:00,auto,compressorCoolOff,,Sleep,73,66,73.1,55,72.9,0,0,0,0,0,0,1.4,74,55,0,73.4,0,74.9,0,75,0,
2020-06-01,00:45:00,auto,compressorCoolOff,,Sleep,73,66,73.2,56,72.9,0,0,0,0,0,0,1.5,74,56,0,73.6,0,75.1,0,75.1,0,
