#,Thermostat,identifier,311064582709
#,Thermostat,name,Home
#,Start,date,2015-08-01
#,End,date,2015-08-31

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Cool Stage 2 (sec),Heat Stage 1 (sec),Heat Stage 2 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Downstairs (F),Downstairs2,Kids' Room (F),Kids' Room2,Bedroom (F),Bedroom2
2015-08-01,00:00:00,cool,compressorCoolOff,away,Sleep,78,64,77.8,54,90,12,0,0,0,0,0,,77.8,54,0,70.8,0,,,,,
2015-08-01,00:05:00,cool,compressorCoolOff,away,Sleep,78,64,78.1,54,90,12,0,0,0,0,0,,78.1,54,0,71.8,0,,,,,
2015-08-01,00:10:00,cool,compressorCoolOff,away,Sleep,78,64,78.3,54,90,12,0,0,0,0,0,,78.3,54,0,73.2,0,,,,,
2015-08-01,00:15:00,cool,compressorCoolOff,away,Sleep,78,64,78.5,53,90,12,0,0,0,0,0,,78.5,53,0,74.6,0,,,,,
2015-08-01,00:20:00,cool,compressorCoolOff,away,Sleep,78,64,78.7,53,90,12,0,0,0,0,0,,78.7,53,0,75.9,0,,,,,
2015-08-01,00:25:00,cool,compressorCoolOff,away,Sleep,78,64,78.9,53,90,12,0,0,0,0,0,,78.9,53,0,76.7,0,,,,,
2015-08-01,00:30:00,cool,compressorCoolOff,away,Sleep,78,64,79,53,90,12,0,0,0,0,0,,79,53,0,77.2,0,,,,,
2015-08-01,00:35:00,cool,compressorCoolOff,away,Sleep,78,64,79.1,53,90,12,0,0,0,0,0,,79.1,53,0,77.7,0,,,,,
2015-08-01,00:40:00,cool,compressorCoolOff,away,Sleep,78,64,79.1,53,90,12,0,0,0,0,0,,79.1,53,0,77.9,0,,,,,
2015-08-01,00:45:00,cool,compressorCoolOff,away,Sleep,78,64,79.2,53,90,12,0,0,0,0,0,,79.2,53,0,78.1,0,,,,,
2015-08-01,00:50:00,cool,compressorCoolOff,away,Sleep,78,64,79.3,53,90,12,0,0,0,0,0,,79.3,53,0,78.2,0,,,,,
2015-08-01,00:55:00,cool,compressorCoolOff,away,Sleep,78,64,79.3,53,90,12,0,0,0,0,0,,79.3,53,0,78.2,0,,,,,
2015-08-01,01:00:00,cool,compressorCoolOff,away,Sleep,78,64,79.4,53,88,5,0,0,0,0,0,,79.4,53,0,78.2,0,,,,,
2015-08-01,01:05:00,cool,compressorCoolOff,away,Sleep,78,64,79.4,52,88,5,195,0,0,0,195,,79.4,52,0,78.2,0,,,,,
2015-08-01,01:10:00,cool,compressorCoolStage1On,away,Sleep,78,64,79.5,52,88,5,300,0,0,0,300,,79.5,52,0,76.5,0,,,,,
2015-08-01,01:15:00,cool,compressorCoolStage1On,away,Sleep,78,64,79.3,51,88,5,300,195,0,0,300,,79.3,51,0,73.5,0,,,,,
2015-08-01,01:20:00,cool,compressorCoolStage2On,away,Sleep,78,64,79,50,88,5,300,300,0,0,300,,79,50,0,71.3,0,,,,,
2015-08-01,01:25:00,cool,compressorCoolStage2On,away,Sleep,78,64,78.4,50,88,5,300,300,0,0,300,,78.4,50,0,70,0,,,,,
2015-08-01,01:30:00,cool,compressorCoolStage2On,away,Sleep,78,64,77.8,50,88,5,60,60,0,0,105,,77.8,50,0,69.2,0,,,,,
2015-08-01,01:35:00,cool,compressorCoolOff,away,Sleep,78,64,77.4,52,88,5,0,0,0,0,0,,77.4,52,0,69.8,0,,,,,
2015-08-01,01:40:00,cool,compressorCoolOff,away,Sleep,78,64,77.6,52,88,5,0,0,0,0,0,,77.6,52,0,70.8,0,,,,,
2015-08-01,01:45:00,cool,compressorCoolOff,away,Sleep,78,64,77.9,52,88,5,0,0,0,0,0,,77.9,52,0,71.7,0,,,,,
2015-08-01,01:50:00,cool,compressorCoolOff,away,Sleep,78,64,78.1,52,88,5,0,0,0,0,0,,78.1,52,0,73,0,,,,,
