#,Thermostat,identifier,311064582709
#,Thermostat,name,Home
#,Start,date,2019-12-01
#,End,date,2019-12-31

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Cool Stage 2 (sec),Heat Stage 1 (sec),Heat Stage 2 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Downstairs (F),Downstairs2,Kids' Room (F),Kids' Room2,Bedroom (F),Bedroom2
2019-11-30,23:00:00,auto,compressorCoolOff,,Sleep,73,66,71.3,64,62.2,0,0,0,0,0,0,-0.3,69.7,64,0,71.2,0,71.6,0,72.1,0,
2019-11-30,23:05:00,auto,compressorCoolOff,,Sleep,73,66,71.4,64,62.2,0,0,0,0,0,0,-0.4,69.7,64,0,71.2,0,71.6,0,72.1,0,
2019-11-30,23:10:00,auto,compressorCoolOff,,Sleep,73,66,71.4,64,62.2,0,0,0,0,0,0,-0.4,69.7,64,0,71.2,0,71.6,0,72.1,0,
2019-11-30,23:15:00,auto,compressorCoolOff,,Sleep,73,66,71.4,64,62.2,0,0,0,0,0,0,-0.4,69.7,64,0,71.2,0,71.6,0,72.1,0,
2019-11-30,23:20:00,auto,compressorCoolOff,,Sleep,73,66,71.4,64,62.2,0,0,0,0,0,0,-0.3,69.7,64,0,71.2,0,71.6,0,72.1,0,
2019-11-30,23:25:00,auto,compressorCoolOff,,Sleep,73,66,71.4,64,62.2,0,0,0,0,0,0,-0.3,69.7,64,0,71.2,0,71.6,0,72.1,0,
2019-11-30,23:30:00,auto,compressorCoolOff,,Sleep,73,66,71.4,64,61.2,0,0,0,0,0,0,-0.3,69.7,64,0,71.2,0,71.6,0,72,0,
2019-11-30,23:35:00,auto,compressorCoolOff,,Sleep,73,66,71.5,64,61.2,0,0,0,0,0,0,-0.4,69.7,64,0,71.2,0,71.6,0,72,0,
2019-11-30,23:40:00,auto,compressorCoolOff,,Sleep,73,66,71.4,64,61.2,0,0,0,0,0,0,-0.4,69.6,64,0,71.2,0,71.6,0,72,0,
2019-11-30,23:45:00,auto,compressorCoolOff,,Sleep,73,66,71.4,64,61.2,0,0,0,0,0,0,-0.4,69.6,64,0,71.2,0,71.6,0,72,0,
2019-11-30,23:50:00,auto,compressorCoolOff,,Sleep,73,66,71.4,64,61.2,0,0,0,0,0,0,-0.4,69.6,64,0,71.2,0,71.6,0,72,0,
2019-11-30,23:55:00,auto,compressorCoolOff,,Sleep,73,66,71.1,64,61.2,0,0,0,0,0,0,-0.1,69.6,64,0,71.2,0,71.6,0,72,0,
2019-12-01,00:00:00,auto,compressorCoolOff,,Sleep,73,66,71.1,64,61.8,0,0,0,0,0,0,-0.1,69.6,64,0,71.2,0,71.6,0,72,0,
2019-12-01,00:05:00,auto,compressorCoolOff,,Sleep,73,66,71.1,64,61.8,0,0,0,0,0,0,-0.1,69.5,64,0,71,0,71.6,0,72,0,
2019-12-01,00:10:00,auto,compressorCoolOff,,Sleep,73,66,71.1,64,61.8,0,0,0,0,0,0,-0.1,69.5,64,0,71,0,71.6,0,72,0,
2019-12-01,00:15:00,auto,compressorCoolOff,,Sleep,73,66,71.1,64,61.8,0,0,0,0,0,0,-0.1,69.5,64,0,71,0,71.6,0,72,0,
2019-12-01,00:20:00,auto,compressorCoolOff,,Sleep,73,66,71.1,64,61.8,0,0,0,0,0,0,-0.1,69.5,64,0,71,0,71.6,0,71.8,0,
2019-12-01,00:25:00,auto,compressorCoolOff,,Sleep,73,66,71,64,61.8,0,0,0,0,0,0,-0.1,69.5,64,0,71,0,71.4,0,71.8,0,
2019-12-01,00:30:00,auto,compressorCoolOff,,Sleep,73,66,70.9,64,60.8,0,0,0,0,0,0,-0.1,69.4,64,0,71,0,71.4,0,71.8,0,
2019-12-01,00:35:00,auto,compressorCoolOff,,Sleep,73,66,70.9,64,60.8,0,0,0,0,0,0,-0.1,69.4,64,0,71,0,71.4,0,71.8,0,
2019-12-01,00:40:00,auto,compressorCoolOff,,Sleep,73,66,70.9,64,60.8,0,0,0,0,0,0,-0.1,69.4,64,0,71,0,71.4,0,71.8,0,
2019-12-01,00:45:00,auto,compressorCoolOff,,Sleep,73,66,70.9,64,60.8,0,0,0,0,0,0,-0.1,69.3,64,0,70.9,0,71.4,0,71.6,0,
2019-12-01,00:50:00,auto,compressorCoolOff,,Sleep,73,66,70.9,64,60.8,0,0,0,0,0,0,-0.2,69.3,64,0,70.9,0,71.4,0,71.6,0,
2019-12-01,00:55:00,auto,compressorCoolOff,,Sleep,73,66,70.9,64,60.8,0,0,0,0,0,0,-0.2,69.3,64,0,70.9,0,71.4,0,71.6,0,
